Sl. No.,S.N,Santali Latin,SANTALI
163,Desmodium triflorum,"sunsuni, ṭạṇḍi cato̱m aṛak̕, ṭạṇḍi sunsuni","ᱥᱩᱱᱥᱩᱱᱤ, ᱴᱟᱹᱱᱰᱤ ᱪᱟᱛᱚᱢ ᱟᱲᱟᱜ, ᱴᱟᱹᱱᱰᱤ ᱥᱩᱱᱥᱩᱱᱤ"
164,Desmodium gangeticum,ṭạṇḍi bhinḍi janaṭet̕,ᱴᱟᱹᱱᱰᱤ ᱵᱷᱤᱱᱰᱤ ᱡᱟᱱᱟᱛᱮᱛ
165,Dhatura alba,"dạtrạ, dhạtrạ","ᱫᱟᱹᱛᱨᱟᱹ, ᱫᱷᱟᱹᱛᱨᱟᱹ"
166,Dhatura fastuosa,"dạtrạ, dhạtrạ","ᱫᱟᱹᱛᱨᱟᱹ, ᱫᱷᱟᱹᱛᱨᱟᱹ"
167,Digeria arvensis,kạri gandhạri,ᱠᱟᱹᱨᱤ ᱜᱟᱹᱱᱫᱷᱟᱹᱨᱤ
168,Dillenia indica,korkoṭ,ᱠᱚᱨᱠᱚᱛ
169,Dillenia pentagyna,sahar,ᱥᱟᱦᱟᱨ
170,Dioscorea bulbifera,beṅgo nạ̃ṛĩ,ᱵᱮᱝᱜᱚ ᱱᱟᱹᱲᱤ
171,Dioscorea daemonum,kolo,ᱠᱚᱞᱚ
172,Dioscorea oppositifolia,piskạ,ᱯᱤᱥᱠᱟᱹ
173,Dioscorea facsiculata,suthni,ᱥᱩᱛᱷᱱᱤ
174,Diospyros tomentosa,"jarge terel, terel","ᱡᱟᱨᱜᱮ ᱛᱤᱨᱤᱞ, ᱛᱤᱨᱤᱞ"
175,Diospyros montana,gaḍa terel,ᱜᱟᱰᱟ ᱛᱤᱨᱤᱞ
176,Diospyros embrypoteris,makaṛkendra,ᱢᱟᱠᱟᱲᱠᱮᱱᱫᱽᱨᱟ
177,Dolichos biflorus,ho̱ṛe̱k̕,ᱦᱳᱲᱮᱠ
178,Dolchos lablab,malhan,ᱢᱟᱞᱦᱟᱱ
179,Dregia volubilis,"koṅgak̕, maraṅ koṅgat","ᱠᱚᱝᱜᱟᱜ, ᱢᱟᱨᱟᱝ ᱠᱚᱝᱜᱟᱛ"
180,Dysophilla verticillata,pansiṅgha,ᱯᱟᱱᱥᱤᱝᱜᱷᱟᱹ
181,Echinops echinatus,ḍaṅgra jạnum,ᱥᱟᱝᱜᱽᱨᱟ ᱡᱟᱹᱱᱩᱢ
182,Eclipta alba,lal kesạri,ᱞᱟᱞ ᱠᱮᱥᱟᱹᱨᱤ
183,Ehretia laevis,pusi pan,ᱯᱩᱥᱤ ᱯᱟᱱ
184,Elaeodendron roxburghii,niuri,ᱱᱤᱣᱨᱤ
185,Eleusine corocona,"ko̱de, lạpṛa k., lapra k., lạpsi k., mạṇḍwik, bhado̱r k.","ᱠᱳᱰᱮ, ᱞᱟᱹᱯᱲᱟ ᱠᱳᱰᱮ, ᱞᱟᱯᱨᱟ ᱠᱳᱰᱮ, ᱞᱟᱹᱯᱥᱤ ᱠᱳᱰᱮ, ᱢᱟᱹᱱᱰᱣᱤᱠ, ᱵᱷᱟᱫᱚᱨ ᱠᱳᱰᱮ"
186,Eleusine aegyptiaca,"sumtu bukuc̕, suntu bukuc̕","ᱥᱩᱢᱛᱩ ᱵᱩᱠᱩᱪ, ᱥᱩᱱᱛᱩ ᱵᱩᱠᱩᱪ"
187,Embelia robusta,bhạbri,ᱵᱷᱟᱹᱵᱨᱤ
188,Emilia sonchifolia,kulại lutur,ᱠᱩᱞᱟᱹᱭᱤ ᱞᱩᱛᱩᱨ
189,Entada scandens,bidhạnta,ᱵᱤᱰᱷᱤᱱᱴᱟᱹ
190,Equisetum debile,buru kaṭko̱m care̱c̕,ᱵᱩᱨᱩ ᱠᱟᱴᱠᱚᱢ ᱪᱟᱨᱮᱪ
191,Eragostis tenella,"ickoc̕, jebkhoc̕","ᱤᱪᱠᱚᱪ, ᱡᱮᱵᱠᱷᱚᱪ"
192,Eragostis bifaria,loposiaṅ ghãs,ᱞᱚᱯᱚᱥᱤᱭᱟᱹᱝ ᱜᱷᱟᱸᱥ
193,Eragostis ciliaris,toṛ caṇḍbo̱l,ᱴᱚᱲ ᱪᱟᱱᱰᱵᱚᱞ
194,Erioloena hookeriana,guạ guli,ᱜᱩᱣᱟᱹ ᱜᱩᱞᱤ
195,Eriosema crinensis,koṇḍeń,ᱠᱚᱱᱰᱮᱝ
196,Ervum lens,mạsri,ᱢᱟᱹᱥᱨᱤ
197,Erycibe paniculata,kạri,ᱠᱟᱹᱨᱤ
198,Erythrina indica,marãṛ,ᱢᱟᱨᱟᱸᱲ
199,Erythrina arborescens,buru marãṛ baha,ᱵᱩᱨᱩ ᱢᱟᱨᱟᱸᱝ ᱵᱟᱦᱟ
200,Eugenia,cuḍuk̕ kod,ᱪᱩᱰᱩᱠ ᱠᱚᱰ
201,Eugenia jambolana,"aṛa, kod, so̱, soh","ᱟᱲᱟ, ᱠᱳᱰ, ᱥᱳ, ᱥᱳᱦ"
202,Eugenia operculata,totonopak̕,ᱴᱚᱴᱚᱱᱚᱯᱟᱠ
203,Euphorbia antiquorum,"ẹṭkẹc̕, sij","ᱮᱴᱠᱮᱪ, ᱥᱤᱡ"
204,Euphorbia scabrifolia,janhe hirom,ᱡᱟᱱᱦᱮ ᱦᱤᱨᱚᱢ
205,Euphorbia dracunculoides,jawa jhara,ᱡᱟᱣᱟ ᱡᱷᱟᱨᱟ
206,Euphorbia granulata,kantha aṛak̕,ᱠᱟᱱᱴᱷᱟ ᱟᱲᱟᱜ
207,Euphorbia thymifolia,nanha pusi toa,ᱱᱟᱱᱦᱟ ᱯᱩᱥᱤ ᱛᱚᱣᱟ
208,Euphorbia pilulifera,pusi toa,ᱯᱩᱥᱤ ᱛᱚᱣᱟ
209,Eyolvulus alsinoides,ṭạṇḍi khode baha,ᱴᱟᱹᱱᱰᱤ ᱠᱷᱚᱰᱮ ᱵᱟᱦᱟ
